,task,block,trial,key_pressed,timestamp,coordinate,rt
253,nav,3,3,down,2021-10-07 13:53:35.994015-07:00,"(4.0, 5.0)",373.187
254,nav,3,3,right,2021-10-07 13:53:36.202503-07:00,"(5.0, 5.0)",208.488
255,nav,3,3,right,2021-10-07 13:53:36.371956-07:00,"(6.0, 5.0)",169.453
256,nav,3,3,up,2021-10-07 13:53:36.571266-07:00,"(6.0, 4.0)",199.30999999999997
257,nav,3,3,up,2021-10-07 13:53:36.730107-07:00,"(6.0, 3.0)",158.841
258,nav,3,3,right,2021-10-07 13:53:36.915140-07:00,"(7.0, 3.0)",185.03300000000002
259,nav,3,3,right,2021-10-07 13:53:37.115699-07:00,"(8.0, 3.0)",200.559
260,nav,3,4,start,2021-10-07 13:53:38.187453-07:00,"(1.0, 1.0)",0
261,nav,3,4,right,2021-10-07 13:53:38.779429-07:00,"(2.0, 1.0)",591.976
262,nav,3,4,right,2021-10-07 13:53:38.941028-07:00,"(3.0, 1.0)",161.599
263,nav,3,4,right,2021-10-07 13:53:39.066943-07:00,"(4.0, 1.0)",125.91499999999999
264,nav,3,4,right,2021-10-07 13:53:39.492485-07:00,"(5.0, 1.0)",425.542
265,nav,3,4,down,2021-10-07 13:53:39.704761-07:00,"(5.0, 2.0)",212.27599999999998
266,nav,3,4,down,2021-10-07 13:53:39.842263-07:00,"(5.0, 3.0)",137.502
267,nav,3,4,down,2021-10-07 13:53:39.985858-07:00,"(5.0, 4.0)",143.595
268,nav,3,4,down,2021-10-07 13:53:40.114298-07:00,"(5.0, 5.0)",128.44
269,nav,3,4,down,2021-10-07 13:53:40.248990-07:00,"(5.0, 6.0)",134.692
270,nav,3,4,down,2021-10-07 13:53:40.675117-07:00,"(5.0, 7.0)",426.12699999999995
271,nav,3,4,left,2021-10-07 13:53:41.043599-07:00,"(4.0, 7.0)",368.48199999999997
272,nav,3,4,left,2021-10-07 13:53:41.208431-07:00,"(3.0, 7.0)",164.832
273,nav,3,4,left,2021-10-07 13:53:41.457195-07:00,"(2.0, 7.0)",248.764
274,nav,3,4,left,2021-10-07 13:53:41.722247-07:00,"(1.0, 7.0)",265.052
275,nav,3,4,up,2021-10-07 13:53:42.037022-07:00,"(1.0, 6.0)",314.77500000000003
276,nav,3,4,up,2021-10-07 13:53:42.185128-07:00,"(1.0, 5.0)",148.106
277,nav,3,4,up,2021-10-07 13:53:42.300042-07:00,"(1.0, 4.0)",114.914
278,nav,3,4,up,2021-10-07 13:53:42.443373-07:00,"(1.0, 3.0)",143.331
279,nav,3,5,start,2021-10-07 13:53:43.528039-07:00,"(1.0, 1.0)",0
280,nav,3,5,right,2021-10-07 13:53:44.116029-07:00,"(2.0, 1.0)",587.99
281,nav,3,5,right,2021-10-07 13:53:44.284232-07:00,"(3.0, 1.0)",168.203
282,nav,3,5,right,2021-10-07 13:53:44.426435-07:00,"(4.0, 1.0)",142.203
283,nav,3,5,right,2021-10-07 13:53:44.576324-07:00,"(5.0, 1.0)",149.88899999999998
284,nav,3,5,down,2021-10-07 13:53:45.698345-07:00,"(5.0, 2.0)",1122.021
285,nav,3,5,down,2021-10-07 13:53:45.873963-07:00,"(5.0, 3.0)",175.618
286,nav,3,5,down,2021-10-07 13:53:46.019469-07:00,"(5.0, 4.0)",145.506
287,nav,3,5,down,2021-10-07 13:53:46.173123-07:00,"(5.0, 5.0)",153.65400000000002
288,nav,3,5,down,2021-10-07 13:53:46.611023-07:00,"(5.0, 6.0)",437.90000000000003
289,nav,3,5,right,2021-10-07 13:53:46.988733-07:00,"(6.0, 6.0)",377.71
290,nav,3,5,right,2021-10-07 13:53:47.171046-07:00,"(7.0, 6.0)",182.31300000000002
291,nav,3,5,up,2021-10-07 13:53:47.669234-07:00,"(7.0, 5.0)",498.18800000000005
292,nav,3,6,start,2021-10-07 13:53:48.740603-07:00,"(1.0, 1.0)",0
293,nav,3,6,right,2021-10-07 13:53:49.540020-07:00,"(2.0, 1.0)",799.417
294,nav,3,6,down,2021-10-07 13:53:49.889029-07:00,"(2.0, 2.0)",349.009
295,nav,3,6,down,2021-10-07 13:53:50.059962-07:00,"(2.0, 3.0)",170.933
296,nav,3,6,down,2021-10-07 13:53:50.922425-07:00,"(2.0, 4.0)",862.463
